"date_id","origin_id","type_id","tag_id","count"
784,2,0,762,1
785,584,20,208,1
785,584,10,208,1
785,585,0,820,1
786,0,0,821,1
786,295,0,364,1
787,0,0,822,1
788,586,0,823,1
788,210,7,824,1
788,210,8,824,1
789,0,0,399,1
790,587,0,534,1
791,588,0,603,1
791,210,13,726,1
781,0,17,816,1
791,210,7,726,1
780,580,7,815,1
779,210,0,8,1
765,10,0,808,1
766,10,0,809,1
766,2,0,176,1
767,573,0,810,1
767,2,0,76,1
768,222,4,272,1
769,210,0,534,1
770,71,0,150,1
771,2,0,16,1
772,0,0,8,1
773,276,17,431,1
774,574,0,811,1
774,575,0,488,1
774,9,7,29,1
775,576,0,812,1
775,577,0,813,1
776,138,0,23,1
777,578,11,814,1
777,578,2,814,1
778,579,0,209,1
779,5,0,233,1
780,580,24,815,1
874,2,3,16,1
792,120,0,428,1
792,276,9,825,1
804,0,17,674,1
804,0,29,674,1
804,0,2,674,1
804,596,4,11,1
804,210,0,726,1
805,597,13,831,1
806,598,0,35,1
806,210,7,726,1
806,210,24,8,1
806,210,7,8,1
807,378,7,832,1
808,11,0,520,1
809,599,8,833,1
810,10,0,764,1
811,4,29,35,1
811,4,28,35,1
811,4,2,35,1
811,210,0,39,1
812,453,7,490,1
812,600,0,515,1
813,276,0,23,1
804,0,6,674,1
792,276,11,825,1
803,595,13,334,1
802,2,0,830,1
793,2,0,817,1
794,120,7,363,1
795,81,20,242,1
796,0,0,764,1
796,210,13,8,1
796,210,7,8,1
797,589,0,826,1
797,4,0,827,1
797,590,0,795,1
797,10,0,209,1
797,2,0,16,1
798,591,0,828,1
798,276,0,442,1
798,276,0,8,1
799,544,0,829,1
800,210,7,8,1
800,9,20,442,1
801,592,0,196,1
801,593,0,7,1
801,276,0,39,1
801,10,0,43,1
803,594,0,23,1
874,2,4,16,1
875,9,0,43,1
876,633,0,856,1
952,0,8,227,1
952,2,0,180,1
953,673,0,885,1
954,0,0,224,1
955,0,0,35,1
956,674,14,886,1
956,2,15,887,1
957,120,0,133,1
957,526,0,888,1
957,276,0,363,1
957,10,0,16,1
958,2,4,889,1
959,442,6,890,1
959,442,16,890,1
959,69,0,7,1
960,210,0,579,1
961,10,0,891,1
961,10,0,16,1
961,2,0,16,1
962,10,0,833,1
962,10,0,5,1
951,672,0,180,1
962,2,0,892,1
950,210,0,251,1
949,10,0,23,1
936,10,0,272,1
936,11,0,788,1
937,659,0,881,1
938,660,0,330,1
939,661,25,44,1
940,662,0,10,1
941,453,0,236,1
941,663,6,229,1
941,2,14,18,1
942,210,2,882,1
943,664,0,883,1
944,0,0,35,1
944,665,0,1,1
945,666,8,363,1
946,667,0,48,1
946,120,0,133,1
947,668,0,106,1
948,0,14,884,1
948,0,9,884,1
948,669,0,325,1
949,670,0,133,1
950,671,0,580,1
935,10,8,880,1
963,10,0,7,1
964,2,0,612,1
977,480,7,49,1
977,480,16,49,1
977,2,0,16,1
978,544,0,8,1
978,210,0,8,1
978,2,0,207,1
979,10,0,196,1
980,295,0,897,1
980,10,0,898,1
981,2,0,899,1
982,210,0,900,1
983,681,13,901,1
983,681,8,901,1
984,4,0,902,1
984,453,0,8,1
984,10,9,16,1
984,10,18,16,1
985,69,0,35,1
986,295,0,363,1
986,2,0,272,1
987,210,0,431,1
976,680,0,7,1
964,10,0,431,1
975,210,0,7,1
974,276,24,363,1
965,10,0,242,1
966,675,0,66,1
966,676,0,4,1
966,2,0,18,1
967,184,0,893,1
968,10,0,242,1
968,2,5,16,1
968,2,9,16,1
968,2,18,16,1
968,2,3,16,1
968,2,4,16,1
969,10,0,251,1
969,2,15,765,1
970,276,11,894,1
970,276,9,894,1
971,210,0,895,1
971,677,0,520,1
971,276,6,7,1
972,295,0,364,1
972,678,0,765,1
973,679,0,896,1
974,10,0,363,1
1238,27,0,176,1
934,658,13,879,1
932,2,0,877,1
890,10,0,33,1
891,0,11,864,1
892,641,2,804,1
892,641,1,804,1
892,642,0,865,1
893,643,0,7,1
894,200,0,843,1
895,644,0,76,1
896,93,0,866,1
897,2,0,16,1
898,210,0,8,1
898,645,0,431,1
899,10,0,867,1
899,10,12,838,1
900,276,0,363,1
901,0,0,35,1
902,210,24,76,1
902,210,13,76,1
902,210,7,76,1
902,210,20,76,1
902,2,0,868,1
889,640,0,863,1
903,120,0,76,1
889,10,0,7,1
887,639,0,36,1
876,453,7,520,1
877,634,0,857,1
878,635,0,153,1
878,636,0,778,1
879,0,6,35,1
879,0,1,35,1
879,637,6,858,1
879,328,7,859,1
880,276,20,860,1
881,0,0,860,1
882,10,0,548,1
883,638,6,7,1
883,210,0,790,1
884,276,0,431,1
884,10,16,545,1
885,210,0,861,1
885,2,0,272,1
886,210,0,7,1
886,365,6,862,1
886,365,2,862,1
886,10,0,482,1
888,10,24,12,1
933,10,0,878,1
904,210,0,8,1
905,10,6,8,1
922,120,0,662,1
922,10,0,39,1
923,328,0,5,1
924,210,0,874,1
925,276,0,363,1
925,10,0,841,1
926,276,0,603,1
927,71,0,23,1
927,210,0,534,1
927,642,0,242,1
928,654,26,251,1
928,276,0,286,1
929,0,0,765,1
929,655,0,208,1
929,656,22,35,1
930,2,9,875,1
931,484,0,876,1
931,2,15,144,1
932,657,0,229,1
932,210,0,8,1
932,276,0,548,1
921,653,0,217,1
905,646,0,7,1
920,10,0,224,1
919,210,0,8,1
905,10,7,8,1
906,210,0,95,1
906,210,0,39,1
907,210,0,869,1
908,11,0,363,1
909,647,0,870,1
909,276,0,363,1
910,10,0,8,1
911,0,25,399,1
912,648,8,795,1
913,649,0,39,1
914,650,0,8,1
914,295,0,242,1
914,10,0,35,1
915,295,0,364,1
916,210,0,871,1
917,276,0,58,1
917,10,8,872,1
918,651,0,788,1
918,2,11,207,1
919,652,0,123,1
920,276,0,873,1
